T_keV,sv_m3_per_s_adopted,sv_m3_per_s_low,sv_m3_per_s_high,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
60.527799761933494,8.61819775863225e-22,8.070953865003147e-22,9.149556978512473e-22,1.2081890691562794e-34,1.131470698452503e-34,1.2826805602121285e-34,6.529542732395338e-36
61.584821106602604,8.61819775863225e-22,8.074498022442276e-22,9.149092871908863e-22,1.2081890691562794e-34,1.1319675554981697e-34,1.2826154968959793e-34,6.61344054296739e-36
62.66030164072653,8.61819775863225e-22,8.077706097488056e-22,9.148002233250136e-22,1.2081890691562794e-34,1.1324172970000355e-34,1.282462599765654e-34,6.698781535075006e-36
63.75456372456507,8.61819775863225e-22,8.080521751017731e-22,9.146334675187327e-22,1.2081890691562794e-34,1.1328120247508204e-34,1.2822288240412976e-34,6.785597034585132e-36
64.86793534788511,8.61819775863225e-22,8.08288861809461e-22,9.144139890001387e-22,1.2081890691562794e-34,1.1331438369243769e-34,1.281921136106411e-34,6.873919133767668e-36
66.00075022827095,8.61819775863225e-22,8.084750337197937e-22,9.141467619703422e-22,1.2081890691562794e-34,1.1334048321734386e-34,1.2815465093161869e-34,6.963780710956753e-36
67.15334791115141,8.61819775863225e-22,8.086050583362222e-22,9.138367628810666e-22,1.2081890691562794e-34,1.1335871142754395e-34,1.2811119201809632e-34,7.055215450724973e-36
68.32607387157402,8.61819775863225e-22,8.08673310521411e-22,9.134889679809488e-22,1.2081890691562794e-34,1.1336827973247273e-34,1.2806243449263691e-34,7.148257864583924e-36
69.51927961775606,8.617343508377786e-22,8.086125691809843e-22,9.130541498679561e-22,1.2080693114240165e-34,1.1335976437629215e-34,1.2800147714332769e-34,7.242943312224937e-36
70.73332279644438,8.610692342025253e-22,8.080668131429149e-22,9.122191513026576e-22,1.207136881383615e-34,1.1328325458873696e-34,1.2788441831413752e-34,7.339308023314186e-36
71.96856730011518,8.598628350179924e-22,8.0707386446129905e-22,9.110013978988054e-22,1.2054456248719715e-34,1.1314405266079794e-34,1.2771370090979524e-34,7.43738911985665e-36
73.22538337604533,8.582570335402099e-22,8.057469145499809e-22,9.094832792756653e-22,1.2031944444662439e-34,1.1295802694833775e-34,1.2750087516855215e-34,7.537224639143889e-36
74.50414773728913,8.563933749244786e-22,8.041989429407392e-22,9.077470030792953e-22,1.2005817729643511e-34,1.1274101610337577e-34,1.2725746581775265e-34,7.638853557301e-36
75.8052436755926,8.54412531126481e-22,8.025423307574793e-22,9.058743626409515e-22,1.19780481902169e-34,1.1250877488685913e-34,1.2699493950176033e-34,7.742315813448398e-36
