T_keV,Pdt_per_ne2_Wm3_adopted,Pdt_per_ne2_Wm3_low,Pdt_per_ne2_Wm3_high,Pdd_fullboost_inDT_per_ne2_Wm3_adopted,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_adopted,Pdd_fullboost_inDT_per_ne2_Wm3_low,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_low,Pdd_fullboost_inDT_per_ne2_Wm3_high,Ptotal_dt_plus_fullboostdd_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
21.79444753752985,6.683289424931676e-35,6.211700526017463e-35,7.17879129227804e-35,1.5868865472567154e-36,6.841978079657348e-35,1.4993975691043261e-36,6.361640282927896e-35,1.6746542889726166e-36,7.346256721175302e-35,3.326704542263672e-36
22.17505275253932,6.825827330940817e-35,6.34541831332715e-35,7.331170301241768e-35,1.634482612704734e-36,6.98927559221129e-35,1.5444956968608512e-36,6.499867883013236e-35,1.7251857021462494e-36,7.503688871456393e-35,3.361488601574411e-36
22.56230462970634,6.968461676582371e-35,6.479377024003447e-35,7.483517629755501e-35,1.6835062442569885e-36,7.13681230100807e-35,1.590950263475924e-36,6.638472050351039e-35,1.777241862089492e-36,7.66124181596445e-35,3.396729294285617e-36
22.956319242369094,7.111063822774249e-35,6.613400279887406e-35,7.635664623453085e-35,1.734000259422898e-36,7.284463848716539e-35,1.6388020672369332e-36,6.777280486611099e-35,1.8308687768706713e-36,7.818751501140152e-35,3.4324346478255526e-36
23.357214690901213,7.253501968230548e-35,6.747303560051924e-35,7.787437394390751e-35,1.7860087599531012e-36,7.432102844225859e-35,1.688093133541688e-36,6.916112873406093e-35,1.886113842816499e-36,7.976048778672401e-35,3.468612866161508e-36
23.76511113811074,7.395641311364044e-35,6.880894349781206e-35,7.938657033491362e-35,1.839577170358001e-36,7.579599028399843e-35,1.7388667518067958e-36,7.054781024961886e-35,1.94302588640153e-36,8.132959622131515e-35,3.505272334143102e-36
24.180130845257207,7.537344223594256e-35,7.013972330410074e-35,8.089139846396985e-35,1.894752277581892e-36,7.726819451352445e-35,1.791167513486303e-36,7.193089081758704e-35,2.001655207401899e-36,8.289305367137175e-35,3.542421621957219e-36
24.602398208697764,7.678470433897525e-35,7.146329611639863e-35,8.23869761288379e-35,1.9515822718669092e-36,7.873628661084216e-35,1.84504135123355e-36,7.330833746763218e-35,2.0620536233510387e-36,8.444902975218895e-35,3.580069489697522e-36
25.03203979717325,7.81887722439529e-35,7.277751007799081e-35,8.387137869897921e-35,2.0101167888426482e-36,8.019888903279555e-35,1.9005355792412074e-36,7.467804565723202e-35,2.124274515336848e-36,8.599565321431605e-35,3.618224892051522e-36
25.4691843897454,7.958419636733073e-35,7.40801435934752e-35,8.534264218169216e-35,2.0704069528781984e-36,8.165460332020892e-35,1.9576989347944928e-36,7.603784252826969e-35,2.1883728751807523e-36,8.753101505687291e-35,3.65689698310825e-36
