T_keV,Pfus_per_ne2_pureD_x0_Wm3,Pbrem_per_ne2_pureD_x0_Wm3,Pfus_per_ne2_He3_5pct_x0p05_Wm3,Pbrem_per_ne2_He3_5pct_x0p05_Wm3,Pfus_per_ne2_He3_10pct_x0p1_Wm3,Pbrem_per_ne2_He3_10pct_x0p1_Wm3,Pfus_per_ne2_He3_50pct_x0p5_Wm3,Pbrem_per_ne2_He3_50pct_x0p5_Wm3
11.2025332406,3.036455487827023e-37,2.268850520846678e-36,2.9252237240200145e-37,2.4849315228320756e-36,2.7915937696612566e-37,2.6813687973642555e-36,1.4710870494502025e-37,3.781417534744463e-36
12.0642665668,3.5837554919260805e-37,2.3642641812938805e-36,3.5394045578477033e-37,2.5894321985599636e-36,3.444834623272699e-37,2.794130396074585e-36,1.960427086386653e-37,3.9404403021564664e-36
12.925999892999998,4.164404573882278e-37,2.4573554466673326e-36,4.218744965248005e-37,2.6913892987308884e-36,4.185762046859782e-37,2.904147346061393e-36,2.551112078401353e-37,4.095592411112221e-36
13.7877332192,4.776221142643136e-37,2.5483868591425017e-36,4.967769144489789e-37,2.791090369537025e-36,5.023809299939195e-37,3.0117299244411377e-36,3.259172876818974e-37,4.247311431904169e-36
15.511199871599999,6.0816373398639725e-37,2.7251212915470493e-36,6.675792112570655e-37,2.9846566526467682e-36,7.0015741816553e-37,3.2205978900101485e-36,5.053241821112166e-37,4.541868819245083e-36
17.234666524,7.483921500768774e-37,2.895876996000716e-36,8.692375260228211e-37,3.1716748051436415e-36,9.439987664867844e-37,3.422400086182664e-36,7.4493353011562625e-37,4.826461660001194e-36
21.543333155,1.1312214726339774e-36,3.302945577317265e-36,1.5086378709504832e-36,3.617511822776052e-36,1.763112219051051e-36,3.9034811368294946e-36,1.6282547219201333e-36,5.504909295528775e-36
25.851999785999997,1.5442206031607605e-36,3.6896806966016e-36,2.3557260822409914e-36,4.041078858182705e-36,2.9183382292342743e-36,4.360531732347345e-36,2.986852374194721e-36,6.149467827669333e-36
30.160666416999998,1.978756294138565e-36,4.0625233739362936e-36,3.409745070216975e-36,4.449430361930226e-36,4.414791179084049e-36,4.8011639873792554e-36,4.8360404875455955e-36,6.770872289893823e-36
34.469333048,2.4283768891012107e-36,4.42556405091833e-36,4.659103511089755e-36,4.847046341481981e-36,6.237258527686893e-36,5.2302120601762076e-36,7.15882896092379e-36,7.375940084863884e-36
38.777999679,2.8855399360562775e-36,4.781570534586779e-36,6.063973673633299e-36,5.2369582045474244e-36,8.322591657239811e-36,5.6509469954207385e-36,9.867589075678583e-36,7.9692842243113e-36
43.08666631,3.3491546394775245e-36,5.132504759712401e-36,7.60032584097187e-36,5.621314736827867e-36,1.0630116933149537e-35,6.065687443296473e-36,1.290253104776188e-35,8.554174599520669e-36
51.703999571999994,4.2861080893649194e-36,5.824567659211245e-36,1.0933391653653192e-35,6.379288388659936e-36,1.568742350610505e-35,6.883579960886016e-36,1.9624425454375763e-35,9.707612765352076e-36
60.321332833999996,5.221970743726074e-36,6.50964269744076e-36,1.4433832170012788e-35,7.129608668625594e-36,2.1034497568947003e-35,7.693214096975441e-36,2.678015200363346e-35,1.0849404495734599e-35
68.938666096,6.152379420456025e-36,7.19257012187569e-36,1.7908774639630314e-35,7.877576800149564e-36,2.6341608410488433e-35,8.500310144034906e-36,3.3881028387608233e-35,1.1987616869792816e-35
77.555999358,7.066891747748686e-36,7.876504307164475e-36,2.1244503734469658e-35,8.626647574513472e-36,3.1420204625254377e-35,9.308595999376196e-36,4.0654673503924375e-35,1.3127507178607457e-35
86.17333262,7.981031608276292e-36,8.563591211120162e-36,2.4390626854937887e-35,9.37917132646494e-36,3.61717415994328e-35,1.0120607794960189e-35,4.6940079725129344e-35,1.4272652018533604e-35
107.716665775,1.0175525973690126e-35,1.0303977774101728e-35,3.125608913116343e-35,1.1285308990682846e-35,4.639202624905505e-35,1.2177428278483858e-35,6.025675686456755e-35,1.7173296290169548e-35
129.25999893,1.2283687863917348e-35,1.208666981911604e-35,3.676783953089481e-35,1.3237781230460426e-35,5.433947318435097e-35,1.428424614986441e-35,7.025494727289405e-35,2.0144449698526734e-35
150.803332085,1.4209208015421582e-35,1.391836008268023e-35,4.086807331161901e-35,1.5243918185792634e-35,5.998592312633534e-35,1.6448971006803907e-35,7.697819408859534e-35,2.3197266804467052e-35
172.34666524,1.607021160226401e-35,1.5802221461305916e-35,4.428449062863687e-35,1.730719493381124e-35,6.449981794919019e-35,1.8675352636088804e-35,8.206694736406179e-35,2.6337035768843193e-35
215.43333155,1.9458727997377468e-35,1.9731017742804675e-35,4.895132092476093e-35,2.1610162289738452e-35,7.003626266849094e-35,2.3318475514223704e-35,8.732542428489167e-35,3.288502957134112e-35
258.51999786,2.2513753613919514e-35,2.3874804309746622e-35,5.229348499529863e-35,2.6148595196389156e-35,7.353385092063416e-35,2.821567782060964e-35,8.983463828635219e-35,3.979134051624437e-35
301.60666417,2.5310712971814365e-35,2.82294169519288e-35,5.458305943566153e-35,3.091793285211249e-35,7.540619561476212e-35,3.3362038215915846e-35,9.01454115483405e-35,4.7049028253214657e-35
344.69333048,2.788139876993659e-35,3.2788782874125385e-35,5.626673861787106e-35,3.591152410023256e-35,7.640082369627606e-35,3.8750379760329996e-35,8.934615994832061e-35,5.464797145687564e-35
430.8666631,3.2484821938361834e-35,4.2495707577488726e-35,5.87730665146927e-35,4.654291782296385e-35,7.730372139287367e-35,5.022219986430485e-35,8.660300134537855e-35,7.082617929581455e-35
517.03999572,3.652754960153041e-35,5.294553688507772e-35,6.06100778485177e-35,5.798796896937083e-35,7.746815535543704e-35,6.257199813691002e-35,8.325510156416904e-35,8.824256147512954e-35
603.21332834,4.0042305625229525e-35,6.409383260318706e-35,6.180456018294963e-35,7.019800713682393e-35,7.691603164288153e-35,7.574725671285743e-35,7.930609658977948e-35,1.0682305433864511e-34
689.38666096,4.3258157069969756e-35,7.590213845766074e-35,6.296469551937636e-35,8.313091354886651e-35,7.652693689724077e-35,8.970252726814449e-35,7.586632167318902e-35,1.2650356409610122e-34
775.55999358,4.5946968042153177e-35,8.833717544090075e-35,6.369339863223621e-35,9.675023976860556e-35,7.57850299344339e-35,1.0439848006651905e-34,7.236798670409227e-35,1.472286257348346e-34
861.7333262,4.816327831809182e-35,1.0136994702495827e-34,6.403531546086844e-35,1.1102422769400192e-34,7.472682085265324e-35,1.1980084648404158e-34,6.881715165763496e-35,1.6894991170826376e-34
